"id","track_id","artist_popularity","genres","name","followers"
"4G5ZJny3HvX6Il7eHVfnNC","4UluFGXeIzL3SGLrX7qwuy","57.0","['afropop', 'desert blues', 'mande pop', 'world']","Fatoumata Diawara","88676.0"
"3i5Tr0bNeC9JORTr5z4VvG","11jAVzBi6jVe6iLhl0vzLk","16.0","[]","Anna-Lisa Jakobsson","3.0"
"55LpTPUBPelc7GtLEZhStz","6mv730PkscaUswekhGeB3h","18.0","[]","Senzala Hi-Tech","801.0"
"78nr1pVnDR7qZH6QbVMYZf","2BF6mQdYAkLmeRQmX7YyPy","69.0","['baile pop', 'brazilian hip hop', 'trap brasileiro']","Baco Exu do Blues","296300.0"
"3MP2WJg5D3bmH5Mz2scPF8","4cwXBoZiktnnRqvyxnJ6MU","37.0","[]","DJ Flow","469.0"
"09dD4wnGe3VpbQoiuPoQaO","11Lk7UsSMKUYo5Rin54eFL","36.0","['hawaiian', 'jawaiian', 'ukulele']","Opihi Pickers","3993.0"
"6vEWV0gVH07h1wPQBn8FEW","2HtrbgSrkOm7HqrbD7DmGr","30.0","['delta blues']","Johnny Temple","196.0"
"6J6yx1t3nwIDyPXk5xa7O8","3NolL8Ds5qRrYQSVUBKicn","65.0","['cantautor', 'latin rock', 'spanish indie pop', 'spanish rock']","Vetusta Morla","430586.0"
"3M67nN7R7YEXHb00ablpdU","1miT4YNgm89IOwKJtF3r5X","24.0","['arab pop', 'belly dance', 'lebanese pop']","Dina Hayek","8872.0"
"2gKYxTUOqw9aPt7ljMwSHT","7zmDFfSrtSd2JeqBqRqUmV","60.0","['conscious hip hop', 'cuban alternative', 'latin alternative', 'latin hip hop']","Orishas","266336.0"
"5mXMQJHLLfym1KyNcDrhoZ","2tZA8zNo96UD8rdq5vC2CD","61.0","['europop', 'italian arena pop', 'italian pop']","Nek","243570.0"
"5MouCg6ta7zAxsfMEbc1uh","7xz7MHCLEhnLHCXh1BWzHB","67.0","['dance pop', 'tropical house']","OMI","434979.0"
"0ZR3khgseh3xy3s8iBYWrI","4g59OArEyrDmlTgbciGYNy","48.0","['french indie pop', 'french indietronica']","Talisco","28559.0"
"6P9fFbQ875B2bnmdiYwN9A","236Joyhsvc06vmBkKjCFwf","56.0","['anthem worship', 'ccm', 'christian uplift', 'indiecoustica', 'worship']","Kings Kaleidoscope","98315.0"
"2qYu4oMaUEAg64ZVlMhAI5","7K4zvZQeGVuXZAlR2NvUum","16.0","['classical percussion']","Kroumata Percussion Ensemble","374.0"
